Object_Label,Experiment,Source_File,Condition,Scene,Spot_Count,Volume_um3,Area_um2,Spot_Density_per_um3,Spot_Density_per_um2,Z_Span_um,Centroid_Z_um,Centroid_Y_um,Centroid_X_um,Equivalent_Diameter_um,Eccentricity
1,,None_0.nd2,None,0,6,,14178.7528,,0.00042316839038198056,,,184.8813,221.24,134.3613,0.34237108018441353
1,,None_0.nd2,None,1,15,,46842.6514,,0.0003202209856122704,,,253.6318,208.8168,244.2169,0.3811322395781985
1,,None_0.nd2,None,2,6,,55518.791,,0.00010807151762364566,,,213.1382,188.1441,265.8735,0.226515155873748
1,,None_0.nd2,None,3,13,,53394.7707,,0.00024346953511685367,,,251.8775,202.6254,260.7381,0.2219693321386776
1,,None_0.nd2,None,4,8,,49568.533,,0.0001613927125904654,,,219.7825,172.7115,251.2222,0.33772175636999735
2,,None_0.nd2,None,4,0,,4194.6901,,0.0,,,382.2229,369.6588,73.0811,0.8804370354299638
