Object_Label,Experiment,Source_File,Condition,Scene,Spot_Count,Volume_um3,Area_um2,Spot_Density_per_um3,Spot_Density_per_um2,Z_Span_um,Centroid_Z_um,Centroid_Y_um,Centroid_X_um,Equivalent_Diameter_um,Eccentricity
1,,allON_HP.nd2,allON_HP,0,380,,13626.074,,0.027887709988952063,,,212.7383,225.8592,131.7166,0.35314869225825785
1,,allON_HP.nd2,allON_HP,1,476,,18346.7676,,0.025944624708714357,,,117.0882,142.1926,152.8392,0.2855042004726687
2,,allON_HP.nd2,allON_HP,1,425,,17904.9581,,0.02373644203054572,,,266.5086,228.3945,150.9878,0.24925364144501058
1,,allON_HP.nd2,allON_HP,2,430,,24307.8624,,0.017689749634258255,,,201.5276,185.8491,175.9254,0.24134868284158448
1,,allON_HP.nd2,allON_HP,3,437,,23987.7589,,0.01821762515713796,,,225.9078,196.0007,174.7632,0.279225179971117
1,,allON_HP.nd2,allON_HP,4,447,,21217.6962,,0.021067320211701403,,,224.141,159.41,164.363,0.38260121216179555
1,,allON_HP.nd2,allON_HP,5,411,,30431.5098,,0.013505738055756932,,,236.9273,172.4313,196.8416,0.21683270862965764
