Object_Label,Experiment,Source File,Condition,Scene,Spot_Count,Volume_um3,Area_um2,Spot_Density_per_um3,Spot_Density_per_um2,Z_Span_um,Centroid_Z_um,Centroid_Y_um,Centroid_X_um,Equivalent_Diameter_um,Eccentricity
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,3,88,,13988.6913,,0.006290795765862672,,,102.6574,107.2069,133.4577,0.4280547818223377
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,3,97,,13889.4926,,0.006983696438270179,,,152.1981,322.1374,132.9837,0.2875022699068473
3,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,3,115,,13222.6102,,0.008697223790201424,,,316.3607,175.86,129.7519,0.377714309346939
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,4,89,,48652.4034,,0.0018293032569897667,,,131.6495,174.2388,248.8899,0.40215125812957914
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,4,86,,45314.6571,,0.0018978406878422567,,,329.0951,248.6739,240.2008,0.44379566575587226
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,5,108,,22388.0748,,0.004823996746696594,,,112.6969,308.1466,168.8354,0.12141290552613199
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,5,101,,23064.1268,,0.00437909489814286,,,175.5385,85.6872,171.3656,0.23341063341329524
3,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,5,98,,20500.7977,,0.004780301792841944,,,362.2202,197.2501,161.5625,0.1840591581227207
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,6,52,,17939.9694,,0.0028985556686624,,,110.113,53.634,151.1353,0.7188985116075528
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,6,110,,23854.3824,,0.004611312007809517,,,128.8218,222.272,174.2766,0.3645411155714757
3,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,6,98,,22312.2169,,0.0043922125909416024,,,293.7245,107.119,168.5491,0.3508566607034019
4,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,6,116,,21708.6884,,0.005343482658307445,,,298.6735,308.2459,166.2539,0.3771158258178373
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,7,108,,37242.8796,,0.0028998831765951845,,,121.7961,269.6508,217.7593,0.25030394895007996
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,7,108,,35788.2425,,0.0030177508716724495,,,314.3133,142.7,213.4643,0.22912691484682973
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,8,102,,18255.0713,,0.005587488447662212,,,154.925,93.552,152.4568,0.3363009720996451
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,8,105,,16781.2613,,0.006256979026957885,,,241.8104,274.0207,146.1731,0.19881109239672337
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,9,112,,41729.3308,,0.0026839634821078893,,,192.4519,211.3187,230.5026,0.23770370945741184
1,nikon_cellpose_bags_spots,None_0.nd2,None,0,6,,14178.7528,,0.00042316839038198056,,,184.8813,221.24,134.3613,0.34237108018441353
1,nikon_cellpose_bags_spots,None_0.nd2,None,1,15,,46842.6514,,0.0003202209856122704,,,253.6318,208.8168,244.2169,0.3811322395781985
1,nikon_cellpose_bags_spots,None_0.nd2,None,2,6,,55518.791,,0.00010807151762364566,,,213.1382,188.1441,265.8735,0.226515155873748
1,nikon_cellpose_bags_spots,None_0.nd2,None,3,13,,53394.7707,,0.00024346953511685367,,,251.8775,202.6254,260.7381,0.2219693321386776
1,nikon_cellpose_bags_spots,None_0.nd2,None,4,8,,49568.533,,0.0001613927125904654,,,219.7825,172.7115,251.2222,0.33772175636999735
2,nikon_cellpose_bags_spots,None_0.nd2,None,4,0,,4194.6901,,0.0,,,382.2229,369.6588,73.0811,0.8804370354299638
