Condition,Source_File,Scene,FOV_ID,Object_Label,Spot_Count,Volume_um3,Area_um2,Z_Span_um,Thickness_mask_um,Thickness_BF_um
None_0,None_0.nd2,0,None_0_S00,1,11,365878.0159,,26.1,26.1,61.46549999999999
None_0,None_0.nd2,1,None_0_S01,1,18,1215526.6647,,26.1,26.1,61.46549999999999
None_0,None_0.nd2,2,None_0_S02,1,3,1452227.4292,,26.1,26.1,61.46549999999999
None_0,None_0.nd2,2,None_0_S02,2,0,633364.0974,,26.1,26.1,61.46549999999999
None_0,None_0.nd2,3,None_0_S03,1,10,1390323.4531,,26.1,26.1,61.46549999999999
None_0,None_0.nd2,4,None_0_S04,1,8,1296911.6295,,26.1,26.1,61.46549999999999
None_0,None_0.nd2,4,None_0_S04,2,0,182940.485,,26.1,26.1,61.46549999999999
None_0,None_0.nd2,4,None_0_S04,3,0,591409.6365,,26.1,26.1,61.46549999999999
