Condition,Source_File,Scene,FOV_ID,Object_Label,Spot_Count,Volume_um3,Area_um2,Z_Span_um,Thickness_mask_um,Thickness_BF_um
P_None_No,P_None_No.nd2,0,P_None_No_S00,1,2,1555895.2577,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,1,P_None_No_S01,1,13,87659.4318,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,1,P_None_No_S01,2,133,692548.0218,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,1,P_None_No_S01,3,129,619385.576,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,1,P_None_No_S01,4,109,659242.4053,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,2,P_None_No_S02,1,130,686546.2211,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,2,P_None_No_S02,2,130,734097.5392,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,3,P_None_No_S03,1,107,362391.0755,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,3,P_None_No_S03,2,109,359861.2573,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,3,P_None_No_S03,3,132,339955.3968,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,3,P_None_No_S03,4,61,187301.0829,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,4,P_None_No_S04,1,3,112179.6129,,26.1,9.9,61.46549999999999
P_None_No,P_None_No.nd2,4,P_None_No_S04,2,22,190495.3349,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,4,P_None_No_S04,3,135,1249761.5975,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,4,P_None_No_S04,4,133,1186155.3207,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,4,P_None_No_S04,5,40,353115.6848,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,4,P_None_No_S04,6,0,377.419,,15.3,0.9,61.46549999999999
P_None_No,P_None_No.nd2,4,P_None_No_S04,7,0,1017.3291,,10.8,1.8,61.46549999999999
P_None_No,P_None_No.nd2,4,P_None_No_S04,8,0,106254.4776,,10.8,10.8,61.46549999999999
P_None_No,P_None_No.nd2,5,P_None_No_S05,1,137,591049.3324,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,5,P_None_No_S05,2,130,602770.8425,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,5,P_None_No_S05,3,116,531871.7851,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,6,P_None_No_S06,1,26,123948.5758,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,6,P_None_No_S06,2,71,478773.0789,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,6,P_None_No_S06,3,128,625853.8869,,26.1,26.1,61.46549999999996
P_None_No,P_None_No.nd2,6,P_None_No_S06,4,138,585528.2497,,26.1,26.1,61.46549999998042
P_None_No,P_None_No.nd2,6,P_None_No_S06,5,141,562284.3721,,26.1,26.1,61.4654999999822
P_None_No,P_None_No.nd2,6,P_None_No_S06,6,25,87948.9785,,26.1,26.1,56.33055447453548
P_None_No,P_None_No.nd2,6,P_None_No_S06,7,73,318577.2789,,26.1,26.1,47.02998355319192
P_None_No,P_None_No.nd2,6,P_None_No_S06,8,0,79492.337,,26.1,26.1,6.025983185121905
P_None_No,P_None_No.nd2,7,P_None_No_S07,1,14,136776.7876,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,7,P_None_No_S07,2,136,978797.4379,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,7,P_None_No_S07,3,141,933973.0175,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,7,P_None_No_S07,4,35,299445.7157,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,8,P_None_No_S08,1,130,482495.5486,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,8,P_None_No_S08,2,114,438234.1384,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,8,P_None_No_S08,3,74,296343.8843,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,8,P_None_No_S08,4,44,131699.8486,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,9,P_None_No_S09,1,152,1092456.9982,,26.1,26.1,61.46549999999999
P_None_No,P_None_No.nd2,9,P_None_No_S09,2,95,549129.4296,,26.1,26.1,61.46549999999999
